timestamp,global_step,epoch,iter,loss
2026-04-19T02:35:34.358053+00:00,1,1,0,5.545095443725586
2026-04-19T02:35:34.449660+00:00,2,1,1,5.542864799499512
2026-04-19T02:35:34.532198+00:00,3,1,2,5.5406060218811035
2026-04-19T02:35:34.614811+00:00,4,1,3,5.538080215454102
2026-04-19T02:35:34.690359+00:00,5,1,4,5.53499698638916
2026-04-19T02:35:34.777368+00:00,6,1,5,5.531586170196533
2026-04-19T02:35:34.853896+00:00,7,1,6,5.526816368103027
2026-04-19T02:35:34.952448+00:00,8,1,7,5.5203471183776855
2026-04-19T02:35:35.041960+00:00,9,1,8,5.510125160217285
2026-04-19T02:35:35.115476+00:00,10,1,9,5.4963178634643555
2026-04-19T02:35:35.190788+00:00,11,1,10,5.470683574676514
2026-04-19T02:35:35.280799+00:00,12,1,11,5.420225620269775
2026-04-19T02:35:35.356328+00:00,13,1,12,5.296739101409912
2026-04-19T02:35:35.437780+00:00,14,1,13,4.965273857116699
2026-04-19T02:35:35.510325+00:00,15,1,14,4.547031402587891
2026-04-19T02:35:35.593939+00:00,16,1,15,4.210155010223389
2026-04-19T02:35:35.665943+00:00,17,1,16,3.9545459747314453
2026-04-19T02:35:35.793004+00:00,18,1,17,3.7607181072235107
2026-04-19T02:35:35.874015+00:00,19,1,18,3.673135280609131
2026-04-19T02:35:35.951547+00:00,20,1,19,3.554232597351074
2026-04-19T02:35:36.026155+00:00,21,1,20,3.3943426609039307
2026-04-19T02:35:36.102692+00:00,22,1,21,3.3801043033599854
2026-04-19T02:35:36.183707+00:00,23,1,22,3.283318281173706
2026-04-19T02:35:36.265235+00:00,24,1,23,3.2518088817596436
2026-04-19T02:35:36.342790+00:00,25,1,24,3.2593162059783936
2026-04-19T02:35:36.424330+00:00,26,1,25,3.219050407409668
2026-04-19T02:35:36.537870+00:00,27,1,26,3.1748766899108887
2026-04-19T02:35:36.622483+00:00,28,1,27,3.1583621501922607
2026-04-19T02:35:36.696024+00:00,29,1,28,3.1992077827453613
2026-04-19T02:35:36.777036+00:00,30,1,29,3.2063634395599365
2026-04-19T02:35:36.846635+00:00,31,1,30,3.176705837249756
2026-04-19T02:35:36.929178+00:00,32,1,31,3.1782901287078857
2026-04-19T02:35:37.006714+00:00,33,1,32,3.1742913722991943
2026-04-19T02:35:37.092251+00:00,34,1,33,3.15238094329834
2026-04-19T02:35:37.191865+00:00,35,1,34,3.1289937496185303
2026-04-19T02:35:37.294410+00:00,36,1,35,3.147062301635742
2026-04-19T02:35:37.363412+00:00,37,1,36,3.1724441051483154
2026-04-19T02:35:37.440955+00:00,38,1,37,3.1203057765960693
2026-04-19T02:35:37.525496+00:00,39,1,38,3.1377172470092773
2026-04-19T02:35:37.614038+00:00,40,1,39,3.1409718990325928
2026-04-19T02:35:37.684048+00:00,41,1,40,3.10629940032959
2026-04-19T02:35:37.763578+00:00,42,1,41,3.1149022579193115
2026-04-19T02:35:37.832198+00:00,43,1,42,3.140286445617676
2026-04-19T02:35:37.910730+00:00,44,1,43,3.1429455280303955
2026-04-19T02:35:37.981744+00:00,45,1,44,3.1137208938598633
2026-04-19T02:35:38.058348+00:00,46,1,45,3.138249158859253
2026-04-19T02:35:38.146887+00:00,47,1,46,3.159552574157715
2026-04-19T02:35:38.225444+00:00,48,1,47,3.122394323348999
2026-04-19T02:35:38.294980+00:00,49,1,48,3.1550018787384033
2026-04-19T02:35:38.373996+00:00,50,1,49,3.1036882400512695
2026-04-19T02:35:38.446593+00:00,51,1,50,3.1541435718536377
2026-04-19T02:35:38.526126+00:00,52,1,51,3.080352544784546
2026-04-19T02:35:38.601740+00:00,53,1,52,3.1219522953033447
2026-04-19T02:35:38.692283+00:00,54,1,53,3.1175601482391357
2026-04-19T02:35:38.769282+00:00,55,1,54,3.10577392578125
2026-04-19T02:35:38.848891+00:00,56,1,55,3.0938560962677
2026-04-19T02:35:38.948433+00:00,57,1,56,3.106536865234375
2026-04-19T02:35:39.070981+00:00,58,1,57,3.084552049636841
