timestamp,global_step,epoch,iter,loss
2026-04-19T01:47:47.408009+00:00,1,1,0,5.545197486877441
2026-04-19T01:47:47.431521+00:00,2,1,1,5.544303894042969
2026-04-19T01:47:47.448522+00:00,3,1,2,5.543420314788818
2026-04-19T01:47:47.462522+00:00,4,1,3,5.542560577392578
2026-04-19T01:47:47.475521+00:00,5,1,4,5.541651248931885
2026-04-19T01:47:47.490521+00:00,6,1,5,5.540701389312744
2026-04-19T01:47:47.505530+00:00,7,1,6,5.539885520935059
2026-04-19T01:47:47.519044+00:00,8,1,7,5.538962364196777
2026-04-19T01:47:47.534042+00:00,9,1,8,5.538047790527344
2026-04-19T01:47:47.549044+00:00,10,1,9,5.537040710449219
2026-04-19T01:47:47.563042+00:00,11,1,10,5.536834716796875
2026-04-19T01:47:47.593044+00:00,12,1,11,5.535039901733398
2026-04-19T01:47:47.626588+00:00,13,1,12,5.534080982208252
2026-04-19T01:47:47.651597+00:00,14,1,13,5.533161640167236
2026-04-19T01:47:47.670584+00:00,15,1,14,5.53262996673584
2026-04-19T01:47:47.689597+00:00,16,1,15,5.531331539154053
2026-04-19T01:47:47.719663+00:00,17,1,16,5.53041934967041
2026-04-19T01:47:47.750660+00:00,18,1,17,5.529181480407715
2026-04-19T01:47:47.772663+00:00,19,1,18,5.528029918670654
2026-04-19T01:47:47.787657+00:00,20,1,19,5.527037620544434
2026-04-19T01:47:47.801663+00:00,21,1,20,5.525779724121094
2026-04-19T01:47:47.816180+00:00,22,1,21,5.524840354919434
2026-04-19T01:47:47.831180+00:00,23,1,22,5.523802757263184
2026-04-19T01:47:47.845178+00:00,24,1,23,5.522459506988525
2026-04-19T01:47:47.859180+00:00,25,1,24,5.521355628967285
2026-04-19T01:47:47.873182+00:00,26,1,25,5.519697666168213
2026-04-19T01:47:47.888184+00:00,27,1,26,5.519173622131348
2026-04-19T01:47:47.904205+00:00,28,1,27,5.5176191329956055
2026-04-19T01:47:47.920734+00:00,29,1,28,5.516012191772461
2026-04-19T01:47:47.935735+00:00,30,1,29,5.5159759521484375
2026-04-19T01:47:47.950735+00:00,31,1,30,5.513683319091797
2026-04-19T01:47:47.963734+00:00,32,1,31,5.512428283691406
2026-04-19T01:47:47.980747+00:00,33,1,32,5.51036262512207
2026-04-19T01:47:47.996734+00:00,34,1,33,5.510392189025879
2026-04-19T01:47:48.023878+00:00,35,1,34,5.506777763366699
2026-04-19T01:47:48.043879+00:00,36,1,35,5.506202220916748
2026-04-19T01:47:48.058876+00:00,37,1,36,5.505496025085449
2026-04-19T01:47:48.072875+00:00,38,1,37,5.5029072761535645
2026-04-19T01:47:48.087880+00:00,39,1,38,5.501799583435059
2026-04-19T01:47:48.103897+00:00,40,1,39,5.500030040740967
2026-04-19T01:47:48.119615+00:00,41,1,40,5.496815204620361
2026-04-19T01:47:48.134613+00:00,42,1,41,5.500535488128662
2026-04-19T01:47:48.148615+00:00,43,1,42,5.494627475738525
2026-04-19T01:47:48.163615+00:00,44,1,43,5.491048336029053
2026-04-19T01:47:48.177613+00:00,45,1,44,5.48989200592041
2026-04-19T01:47:48.192613+00:00,46,1,45,5.4882283210754395
2026-04-19T01:47:48.207620+00:00,47,1,46,5.486939907073975
2026-04-19T01:47:48.223142+00:00,48,1,47,5.483777046203613
2026-04-19T01:47:48.237142+00:00,49,1,48,5.482730388641357
2026-04-19T01:47:48.262139+00:00,50,1,49,5.479073524475098
2026-04-19T01:47:48.279140+00:00,51,1,50,5.476284980773926
2026-04-19T01:47:48.295142+00:00,52,1,51,5.474518775939941
2026-04-19T01:47:48.309145+00:00,53,1,52,5.4712443351745605
2026-04-19T01:47:48.327654+00:00,54,1,53,5.474480628967285
2026-04-19T01:47:48.358654+00:00,55,1,54,5.469005107879639
2026-04-19T01:47:48.374654+00:00,56,1,55,5.46207857131958
2026-04-19T01:47:48.389653+00:00,57,1,56,5.459404945373535
2026-04-19T01:47:48.403655+00:00,58,1,57,5.456943511962891
2026-04-19T01:47:48.419169+00:00,59,1,58,5.452969551086426
2026-04-19T01:47:48.435170+00:00,60,1,59,5.4536261558532715
2026-04-19T01:47:48.449168+00:00,61,1,60,5.446820259094238
